sigla_uf,grupo_idade,populacao
AC,0 a 4 anos,71001
MA,0 a 4 anos,517020
GO,0 a 4 anos,461578
PR,0 a 4 anos,698133
AM,0 a 4 anos,351726
TO,0 a 4 anos,114383
SP,0 a 4 anos,2467570
RO,0 a 4 anos,113450
RS,0 a 4 anos,609791
ES,0 a 4 anos,240565
MS,0 a 4 anos,199203
AL,0 a 4 anos,228824
BA,0 a 4 anos,887805
RN,0 a 4 anos,204705
MT,0 a 4 anos,281538
RR,0 a 4 anos,64752
PB,0 a 4 anos,264885
MG,0 a 4 anos,1187024
SC,0 a 4 anos,468406
AP,0 a 4 anos,65666
PI,0 a 4 anos,216538
CE,0 a 4 anos,574335
DF,0 a 4 anos,166848
RJ,0 a 4 anos,875769
PA,0 a 4 anos,632124
PE,0 a 4 anos,593211
SE,0 a 4 anos,148010
PI,5 a 9 anos,226124
RS,5 a 9 anos,665885
TO,5 a 9 anos,117486
RR,5 a 9 anos,63243
DF,5 a 9 anos,184611
BA,5 a 9 anos,965550
RO,5 a 9 anos,117536
CE,5 a 9 anos,609895
RJ,5 a 9 anos,1015741
MS,5 a 9 anos,208196
GO,5 a 9 anos,494072
AC,5 a 9 anos,74586
SE,5 a 9 anos,156741
MA,5 a 9 anos,547003
PE,5 a 9 anos,645069
PA,5 a 9 anos,669700
ES,5 a 9 anos,254280
MT,5 a 9 anos,283473
AM,5 a 9 anos,367770
PB,5 a 9 anos,276601
PR,5 a 9 anos,759916
SC,5 a 9 anos,489625
RN,5 a 9 anos,220287
SP,5 a 9 anos,2775377
AL,5 a 9 anos,235921
MG,5 a 9 anos,1257588
AP,5 a 9 anos,67164
MA,10 a 14 anos,581302
DF,10 a 14 anos,182774
CE,10 a 14 anos,618205
RO,10 a 14 anos,117166
PR,10 a 14 anos,737248
MT,10 a 14 anos,264675
PE,10 a 14 anos,656399
AM,10 a 14 anos,355930
PA,10 a 14 anos,689373
SE,10 a 14 anos,164750
ES,10 a 14 anos,246651
RN,10 a 14 anos,229666
AP,10 a 14 anos,65346
MG,10 a 14 anos,1263307
RJ,10 a 14 anos,964636
SP,10 a 14 anos,2732216
GO,10 a 14 anos,475639
PB,10 a 14 anos,285435
SC,10 a 14 anos,465179
BA,10 a 14 anos,1009716
TO,10 a 14 anos,119117
AC,10 a 14 anos,75573
RR,10 a 14 anos,58213
RS,10 a 14 anos,630834
MS,10 a 14 anos,199393
PI,10 a 14 anos,239272
AL,10 a 14 anos,246946
RO,15 a 17 anos,74037
AP,15 a 17 anos,40397
MA,15 a 17 anos,374878
SP,15 a 17 anos,1707409
PA,15 a 17 anos,439895
DF,15 a 17 anos,122342
RJ,15 a 17 anos,600470
RN,15 a 17 anos,146300
ES,15 a 17 anos,152730
GO,15 a 17 anos,301032
PR,15 a 17 anos,456314
PI,15 a 17 anos,155969
AL,15 a 17 anos,155398
CE,15 a 17 anos,392095
MS,15 a 17 anos,119896
RR,15 a 17 anos,33862
BA,15 a 17 anos,637602
MG,15 a 17 anos,809481
RS,15 a 17 anos,398734
AC,15 a 17 anos,47566
PB,15 a 17 anos,177746
AM,15 a 17 anos,222408
TO,15 a 17 anos,75942
MT,15 a 17 anos,162674
SC,15 a 17 anos,285298
PE,15 a 17 anos,409870
SE,15 a 17 anos,104952
AM,15 a 19 anos,367978
RS,15 a 19 anos,669068
TO,15 a 19 anos,125373
GO,15 a 19 anos,508801
BA,15 a 19 anos,1068959
DF,15 a 19 anos,208546
PA,15 a 19 anos,726859
MA,15 a 19 anos,612833
PR,15 a 19 anos,761026
SP,15 a 19 anos,2857669
RO,15 a 19 anos,122058
PI,15 a 19 anos,257358
ES,15 a 19 anos,256029
SE,15 a 19 anos,172544
MG,15 a 19 anos,1363591
CE,15 a 19 anos,648812
AC,15 a 19 anos,78689
RR,15 a 19 anos,56875
PB,15 a 19 anos,296275
SC,15 a 19 anos,480629
PE,15 a 19 anos,685570
AL,15 a 19 anos,258193
MT,15 a 19 anos,270800
AP,15 a 19 anos,67628
MS,15 a 19 anos,198275
RN,15 a 19 anos,243526
RJ,15 a 19 anos,1011978
PA,18 e 19 anos,286964
RJ,18 e 19 anos,411508
MG,18 e 19 anos,554110
CE,18 e 19 anos,256717
ES,18 e 19 anos,103299
PE,18 e 19 anos,275700
RR,18 e 19 anos,23013
GO,18 e 19 anos,207769
RN,18 e 19 anos,97226
TO,18 e 19 anos,49431
SP,18 e 19 anos,1150260
SE,18 e 19 anos,67592
RS,18 e 19 anos,270334
PI,18 e 19 anos,101389
PB,18 e 19 anos,118529
AM,18 e 19 anos,145570
AP,18 e 19 anos,27231
SC,18 e 19 anos,195331
BA,18 e 19 anos,431357
MT,18 e 19 anos,108126
MA,18 e 19 anos,237955
PR,18 e 19 anos,304712
MS,18 e 19 anos,78379
DF,18 e 19 anos,86204
AL,18 e 19 anos,102795
AC,18 e 19 anos,31123
RO,18 e 19 anos,48021
SE,20 a 24 anos,178868
MG,20 a 24 anos,1526557
PA,20 a 24 anos,707968
AM,20 a 24 anos,362878
RO,20 a 24 anos,124515
PI,20 a 24 anos,258937
PE,20 a 24 anos,712918
AP,20 a 24 anos,69388
CE,20 a 24 anos,701679
MS,20 a 24 anos,206935
MT,20 a 24 anos,289545
RJ,20 a 24 anos,1149011
MA,20 a 24 anos,572368
AL,20 a 24 anos,258640
RS,20 a 24 anos,755646
DF,20 a 24 anos,227966
PB,20 a 24 anos,301247
GO,20 a 24 anos,554318
SC,20 a 24 anos,574485
RN,20 a 24 anos,255391
PR,20 a 24 anos,846638
AC,20 a 24 anos,77247
RR,20 a 24 anos,58711
TO,20 a 24 anos,123471
BA,20 a 24 anos,1084267
SP,20 a 24 anos,3210836
ES,20 a 24 anos,276033
AM,25 a 29 anos,332163
ES,25 a 29 anos,279424
RO,25 a 29 anos,126056
RN,25 a 29 anos,256511
AL,25 a 29 anos,242922
RR,25 a 29 anos,55700
RS,25 a 29 anos,783222
GO,25 a 29 anos,564470
SE,25 a 29 anos,175310
DF,25 a 29 anos,224162
AC,25 a 29 anos,68848
PE,25 a 29 anos,680743
PR,25 a 29 anos,889031
PB,25 a 29 anos,296144
PI,25 a 29 anos,242215
BA,25 a 29 anos,1021456
TO,25 a 29 anos,117576
AP,25 a 29 anos,63419
CE,25 a 29 anos,719689
SP,25 a 29 anos,3306143
PA,25 a 29 anos,666047
MT,25 a 29 anos,303722
RJ,25 a 29 anos,1160926
SC,25 a 29 anos,623099
MS,25 a 29 anos,216631
MA,25 a 29 anos,517985
MG,25 a 29 anos,1536109
PA,30 a 39 anos,1291371
BA,30 a 39 anos,2182095
PI,30 a 39 anos,509850
TO,30 a 39 anos,234512
MG,30 a 39 anos,3126299
RS,30 a 39 anos,1615622
RO,30 a 39 anos,253223
RR,30 a 39 anos,98674
RN,30 a 39 anos,525855
PE,30 a 39 anos,1395368
DF,30 a 39 anos,462483
SP,30 a 39 anos,7039945
AL,30 a 39 anos,468522
AP,30 a 39 anos,115476
PR,30 a 39 anos,1748094
SC,30 a 39 anos,1272471
RJ,30 a 39 anos,2376896
SE,30 a 39 anos,347004
CE,30 a 39 anos,1401618
MS,30 a 39 anos,428459
ES,30 a 39 anos,605389
AC,30 a 39 anos,125875
PB,30 a 39 anos,609074
MA,30 a 39 anos,1067890
AM,30 a 39 anos,596414
MT,30 a 39 anos,603862
GO,30 a 39 anos,1143567
MA,40 a 49 anos,892401
MS,40 a 49 anos,391566
AM,40 a 49 anos,510664
AP,40 a 49 anos,94543
PR,40 a 49 anos,1653079
SE,40 a 49 anos,321142
RS,40 a 49 anos,1532295
MG,40 a 49 anos,3023580
AC,40 a 49 anos,108066
RJ,40 a 49 anos,2401463
SC,40 a 49 anos,1114526
CE,40 a 49 anos,1232589
AL,40 a 49 anos,437413
BA,40 a 49 anos,2126056
SP,40 a 49 anos,6793597
TO,40 a 49 anos,213674
RR,40 a 49 anos,78224
PE,40 a 49 anos,1314913
GO,40 a 49 anos,1065838
RN,40 a 49 anos,475828
PI,40 a 49 anos,463880
ES,40 a 49 anos,576351
PB,40 a 49 anos,570833
MT,40 a 49 anos,530710
PA,40 a 49 anos,1094923
DF,40 a 49 anos,463429
RO,40 a 49 anos,230699
TO,50 a 59 anos,156947
ES,50 a 59 anos,467592
AC,50 a 59 anos,71717
MG,50 a 59 anos,2595998
SE,50 a 59 anos,251026
RN,50 a 59 anos,393069
PE,50 a 59 anos,1042581
RR,50 a 59 anos,51855
CE,50 a 59 anos,997602
MA,50 a 59 anos,645132
RJ,50 a 59 anos,2073125
RO,50 a 59 anos,180447
MS,50 a 59 anos,317264
AL,50 a 59 anos,341081
PA,50 a 59 anos,766238
MT,50 a 59 anos,399845
SP,50 a 59 anos,5577317
PR,50 a 59 anos,1458095
BA,50 a 59 anos,1636443
SC,50 a 59 anos,937548
AP,50 a 59 anos,63213
PB,50 a 59 anos,458865
PI,50 a 59 anos,363126
DF,50 a 59 anos,331472
AM,50 a 59 anos,339108
RS,50 a 59 anos,1427186
GO,50 a 59 anos,823795
RJ,60 a 69 anos,1678255
RR,60 a 69 anos,31467
PI,60 a 69 anos,259137
AL,60 a 69 anos,230172
MA,60 a 69 anos,447586
PB,60 a 69 anos,317404
RN,60 a 69 anos,263949
PA,60 a 69 anos,507432
DF,60 a 69 anos,206463
AC,60 a 69 anos,45538
MT,60 a 69 anos,258407
SE,60 a 69 anos,163089
MG,60 a 69 anos,2013210
AM,60 a 69 anos,215739
TO,60 a 69 anos,104386
GO,60 a 69 anos,555696
BA,60 a 69 anos,1153753
AP,60 a 69 anos,37479
ES,60 a 69 anos,362203
RS,60 a 69 anos,1204482
CE,60 a 69 anos,672897
MS,60 a 69 anos,224963
RO,60 a 69 anos,118007
SC,60 a 69 anos,688604
PE,60 a 69 anos,724940
SP,60 a 69 anos,4266063
PR,60 a 69 anos,1069300
AL,Idade ignorada,
BA,Idade ignorada,
RR,Idade ignorada,
PB,Idade ignorada,
ES,Idade ignorada,
RN,Idade ignorada,
RJ,Idade ignorada,
DF,Idade ignorada,
PE,Idade ignorada,
MT,Idade ignorada,
MG,Idade ignorada,
AP,Idade ignorada,
SC,Idade ignorada,
SE,Idade ignorada,
AM,Idade ignorada,
PI,Idade ignorada,
